id,locus_1,locus_2,locus_3,locus_4,locus_5,locus_6,locus_7,locus_8,locus_9,locus_10,locus_11,locus_12,locus_13,locus_14,locus_15
sample_1,119,239,105,362,424,104,210,172,112,80,123,236,205,264,124
sample_2,125,242,109,372,428,110,215,164,106,82,125,242,213,262,122
sample_3,123,239,105,370,428,101,215,172,106,82,125,239,205,262,122
sample_4,123,239,109,372,422,98,215,159,97,80,125,233,205,264,122
sample_5,125,239,105,370,428,101,215,168,100,80,129,239,205,262,124
sample_6,121,233,105,364,428,104,210,159,106,86,127,233,209,270,122
sample_7,127,239,113,364,428,110,210,172,109,86,125,239,209,270,122
sample_8,119,236,109,362,424,107,210,172,109,82,125,236,201,270,124
sample_9,125,242,101,372,428,104,215,172,109,80,129,233,213,272,122
sample_10,125,239,105,362,428,104,210,176,112,84,121,242,205,264,122
sample_11,119,239,105,361,424,104,210,159,112,86,121,239,205,262,122
sample_12,125,239,105,372,428,101,210,168,103,78,127,239,213,264,124
sample_13,129,239,105,370,426,101,215,164,106,78,123,239,205,262,124
sample_14,121,236,101,370,424,104,215,176,106,80,119,236,213,264,122
sample_15,125,233,101,364,428,107,210,164,109,80,127,236,209,268,124
sample_16,119,242,113,364,426,107,215,172,106,86,127,242,205,262,122
sample_17,129,245,109,372,428,104,210,159,109,84,125,245,213,272,122
sample_18,125,239,113,370,428,98,215,176,100,80,125,239,205,261,124
sample_19,125,233,109,370,428,104,215,172,100,78,125,239,209,262,124
sample_20,119,233,101,370,424,107,215,168,100,84,119,236,209,270,124
sample_21,129,233,101,368,424,104,210,164,106,82,125,242,205,272,124
sample_22,121,239,105,364,422,104,215,164,97,80,123,233,205,262,124
sample_23,121,236,105,364,424,104,210,172,106,84,123,236,205,264,124
sample_24,129,239,113,372,428,101,215,168,106,78,125,245,205,261,124
sample_25,121,239,105,362,426,107,215,159,106,86,123,236,201,262,124
sample_26,125,239,109,364,424,104,210,168,97,86,125,236,209,268,124
sample_27,129,242,109,370,426,98,215,168,106,80,125,239,205,264,124
sample_28,123,239,109,370,424,101,215,168,100,80,125,239,209,264,124
sample_29,123,236,105,364,424,107,210,164,106,86,123,242,205,262,124
sample_30,125,239,109,372,422,107,215,168,106,80,129,239,209,261,124
sample_31,125,239,113,368,422,101,215,164,100,78,125,239,209,262,124
sample_32,121,233,105,368,424,104,215,168,109,84,123,239,213,264,124
sample_33,129,233,101,364,424,107,210,164,106,82,129,245,213,266,122
sample_34,125,242,105,364,424,98,210,172,106,86,119,236,205,268,122
sample_35,129,236,105,370,428,104,210,164,112,82,127,239,205,272,122
sample_36,125,245,101,364,428,107,210,164,109,82,129,242,209,264,122
sample_37,119,236,101,366,426,104,210,172,106,86,119,236,205,264,122
sample_38,119,236,109,366,428,107,210,176,106,86,121,239,209,268,124
sample_39,127,239,105,372,428,104,215,168,100,78,125,239,205,261,124
sample_40,121,242,105,364,422,104,210,172,100,86,121,236,205,264,124
sample_41,125,239,105,370,426,101,210,172,100,78,129,245,209,262,122
sample_42,129,239,109,370,428,101,215,164,100,80,123,239,213,261,124
sample_43,121,236,109,368,428,98,215,172,106,82,121,236,209,264,122
sample_44,125,239,105,372,428,101,215,168,106,80,127,239,205,262,124
sample_45,123,233,113,366,422,107,210,164,112,86,125,242,205,264,124
sample_46,125,239,109,372,422,104,215,172,106,82,125,239,209,264,124
sample_47,129,239,109,372,424,104,215,159,100,78,127,239,205,261,124
sample_48,125,236,109,362,424,107,210,176,109,80,123,233,205,262,124
sample_49,119,242,105,364,424,110,215,164,112,86,123,239,209,264,122
sample_50,129,233,109,370,422,101,215,159,100,78,125,239,213,262,124
sample_51,125,239,105,372,428,104,215,164,100,78,125,239,213,261,124
sample_52,127,239,105,372,424,104,215,164,100,80,123,239,209,261,122
sample_53,125,239,109,372,422,101,215,164,97,78,127,239,205,261,124
sample_54,119,233,101,364,424,104,210,172,109,86,123,236,209,264,124
sample_55,127,245,113,368,428,98,215,172,106,80,129,239,209,262,124
sample_56,129,233,109,372,422,101,215,168,100,80,123,239,209,264,124
sample_57,123,233,113,364,424,104,210,164,106,82,123,242,205,262,124
sample_58,119,239,105,361,428,98,210,168,100,84,119,242,213,270,122
sample_59,127,242,109,370,422,101,210,168,100,78,129,233,205,264,124
sample_60,121,236,105,364,422,98,215,168,100,86,123,239,213,266,122
sample_61,121,233,109,361,424,101,210,172,106,86,129,236,205,264,124
sample_62,123,239,105,370,428,101,215,172,100,78,127,239,209,264,124
sample_63,129,233,109,370,428,101,215,168,100,80,129,233,209,261,124
sample_64,123,236,113,362,426,107,215,164,106,80,121,239,205,264,124
sample_65,119,239,105,364,428,101,210,172,106,86,121,236,205,264,122
sample_66,127,242,113,370,422,104,215,168,97,80,125,239,205,264,124
sample_67,127,242,109,366,428,107,210,164,109,82,125,245,209,272,122
sample_68,119,236,105,364,428,107,215,172,106,86,121,236,213,268,124
sample_69,119,236,101,364,428,104,210,176,109,86,121,236,201,266,124
sample_70,127,239,105,370,428,104,215,168,100,80,129,245,205,262,124
sample_71,127,239,109,370,428,107,215,176,97,78,125,233,205,262,124
sample_72,121,233,113,361,428,104,215,172,106,86,121,236,201,264,124
sample_73,123,239,105,362,428,107,210,172,106,86,123,233,201,266,124
sample_74,127,245,105,364,426,107,210,164,106,82,129,245,209,272,124
sample_75,125,236,105,372,424,104,210,168,103,80,129,239,205,261,124
sample_76,127,239,105,370,426,101,215,168,100,80,127,236,209,261,122
sample_77,119,236,105,368,422,98,210,172,103,84,119,239,209,266,124
sample_78,125,233,109,368,428,101,215,168,103,78,129,239,205,261,124
sample_79,125,239,105,372,426,101,215,168,97,78,129,233,213,262,124
sample_80,125,233,113,368,426,107,215,172,106,86,121,233,205,264,124
sample_81,125,236,105,364,426,104,210,172,106,86,121,239,205,268,122
sample_82,119,233,105,364,426,107,210,168,106,86,123,239,209,264,124
sample_83,127,245,113,372,428,104,215,164,97,80,127,233,209,264,122
sample_84,125,233,105,372,424,104,215,172,100,78,127,233,213,261,124
sample_85,125,233,105,372,426,98,215,164,106,78,125,239,209,264,124
sample_86,123,239,113,368,422,101,215,164,103,78,125,239,205,261,124
sample_87,127,236,113,370,428,101,215,172,106,82,127,245,213,262,124
sample_88,127,242,109,364,428,104,210,164,109,80,125,245,213,262,122
sample_89,123,236,109,361,428,104,215,172,106,86,125,236,205,266,124
sample_90,125,239,109,370,422,101,210,172,106,80,123,239,205,261,124
sample_91,121,236,101,364,426,98,210,172,106,86,121,236,205,264,124
sample_92,127,245,101,372,426,107,210,164,109,82,125,245,209,266,122
sample_93,125,245,105,370,426,101,215,159,106,80,123,239,205,261,124
sample_94,125,233,113,370,428,101,215,168,97,80,125,233,209,261,124
sample_95,125,239,105,362,428,104,215,172,103,84,121,239,205,264,122
sample_96,125,236,113,362,428,110,210,172,106,86,121,236,205,262,124
sample_97,119,239,105,364,426,110,215,164,106,86,121,233,213,266,124
sample_98,119,239,105,362,424,110,210,176,106,86,123,239,205,262,122
sample_99,121,236,105,364,428,107,210,164,106,86,125,236,205,268,124
sample_100,123,236,105,362,428,107,210,176,106,82,125,242,205,268,122
sample_101,119,239,105,364,426,107,215,172,97,86,123,239,205,266,124
sample_102,121,239,113,366,424,107,210,172,106,86,123,239,201,264,124
sample_103,125,233,105,368,428,98,210,172,109,82,125,233,205,266,122
sample_104,127,239,105,370,422,104,215,168,100,82,125,233,213,264,124
sample_105,121,239,109,370,424,104,210,168,100,80,127,239,209,262,124
sample_106,129,239,105,370,426,101,215,164,106,82,125,239,205,264,124
sample_107,127,239,109,372,426,104,215,168,100,80,125,239,209,264,124
sample_108,125,233,105,370,426,101,215,172,100,80,125,239,205,264,124
sample_109,125,236,113,368,426,104,210,164,103,84,125,242,205,264,124
sample_110,119,236,105,364,422,104,215,164,97,86,121,236,205,264,124
sample_111,127,242,105,364,424,107,215,172,106,86,125,236,213,262,124
sample_112,129,239,109,364,424,101,210,159,106,80,123,236,213,264,124
sample_113,119,236,113,361,424,104,210,159,112,84,123,239,205,266,124
sample_114,127,239,109,370,422,104,215,172,97,80,125,233,213,261,124
sample_115,125,239,105,372,428,101,215,172,103,80,127,239,205,261,124
sample_116,121,233,105,362,422,104,210,172,97,86,125,242,205,264,124
sample_117,123,239,101,364,428,101,210,172,109,86,121,236,213,266,124
sample_118,119,236,105,362,426,107,210,164,106,86,123,233,209,262,124
sample_119,125,239,105,372,422,104,215,168,103,80,125,239,205,261,124
sample_120,125,239,109,370,422,101,215,164,100,82,125,239,213,261,124
sample_121,119,236,109,364,422,104,210,176,106,82,125,239,205,264,122
sample_122,129,236,105,364,426,107,210,164,109,82,125,245,209,272,122
sample_123,127,245,105,364,428,104,210,164,112,80,127,245,209,272,122
sample_124,127,245,109,368,426,104,215,168,100,78,127,239,205,261,124
sample_125,119,236,101,364,426,107,210,168,97,86,121,233,213,264,124
sample_126,129,239,105,368,424,104,215,164,103,80,125,245,205,261,124
sample_127,127,245,105,372,426,101,215,159,103,80,129,239,205,262,124
sample_128,119,236,101,370,428,107,210,172,112,86,129,233,205,268,124
sample_129,123,239,105,372,428,107,215,168,100,80,125,242,205,261,124
sample_130,127,239,113,370,424,101,215,172,100,80,129,239,209,261,124
sample_131,121,236,109,362,426,107,210,164,97,82,125,236,205,264,122
sample_132,121,233,109,370,426,104,215,168,100,78,123,239,205,264,124
sample_133,121,236,113,364,422,98,210,172,109,84,129,233,205,264,124
sample_134,127,239,105,370,426,104,215,176,97,80,123,239,205,264,122
sample_135,121,236,105,364,428,107,215,168,100,84,121,233,205,268,124
sample_136,125,242,113,372,424,101,215,168,103,82,123,239,205,264,124
sample_137,127,239,105,368,428,101,215,176,103,78,125,236,213,261,124
sample_138,119,239,105,364,428,107,210,172,106,84,125,236,213,264,122
sample_139,119,236,105,364,428,107,210,159,106,82,123,242,205,268,124
sample_140,125,239,109,372,426,101,215,168,106,78,127,239,213,261,124
sample_141,127,242,105,370,428,104,210,164,106,82,125,236,209,272,122
sample_142,121,239,109,366,426,98,210,172,100,84,123,236,205,266,122
sample_143,119,233,105,370,428,110,210,176,109,86,119,236,213,268,124
sample_144,129,239,113,372,426,107,215,164,100,80,127,239,209,261,122
sample_145,123,245,113,370,428,101,215,172,97,80,127,239,213,262,124
sample_146,121,236,101,364,428,107,210,164,106,84,121,236,205,268,124
sample_147,129,236,109,370,422,101,215,172,100,78,125,239,213,264,122
sample_148,125,239,105,361,428,107,210,172,106,84,125,239,205,262,124
sample_149,125,242,113,372,424,101,215,164,100,78,125,239,213,261,124
sample_150,127,239,109,372,422,101,215,168,100,82,125,239,213,261,124
sample_151,121,239,105,361,424,107,210,159,109,84,125,236,205,264,124
sample_152,121,242,105,364,424,107,215,168,106,86,119,239,213,262,122
sample_153,127,233,113,370,426,107,215,172,100,80,127,245,209,261,124
sample_154,119,233,105,368,426,110,210,164,109,82,121,239,205,270,124
sample_155,119,239,109,364,422,104,215,172,97,86,121,242,205,264,124
sample_156,119,236,105,364,422,107,210,172,109,86,125,239,205,264,124
sample_157,129,239,109,370,424,104,215,172,97,80,125,239,205,264,124
sample_158,119,239,113,364,428,104,210,172,109,84,123,239,213,266,124
sample_159,121,239,109,364,426,107,210,172,109,80,125,236,205,266,124
sample_160,119,242,105,368,428,110,210,172,100,80,123,236,205,264,124
sample_161,127,239,109,370,428,107,215,168,103,78,127,236,209,262,124
