Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
1,50,13500,1Fam,10,5,1,0,6,2007,483,4,GasA,Y,630,0,2008,200509.940822934
2,,10237,1Fam,8,5,1,0,6,1981,1176,3,GasA,Y,1316,0,2006,187209.812454776
3,,11341,1Fam,6,6,1,0,5,1994,1151,2,GasA,Y,1477,0,2010,178669.148091419
4,90,8414,1Fam,10,6,1,1,6,1925,884,6,GasA,N,1204,0,2008,234584.885933401
5,69,4435,1Fam,6,5,2,0,5,1918,969,2,GasA,Y,1349,0,2009,95970.9848132284
6,60,7015,Duplex,4,6,2,0,6,2005,1029,3,GasA,Y,1376,0,2007,170605.121743504
7,,14850,1Fam,4,3,2,1,7,1967,952,3,GasA,Y,1733,0,2009,179064.676026179
8,,2117,1Fam,7,5,1,1,5,1975,793,3,GasA,Y,923,0,2008,127907.391655707
9,90,8978,1Fam,4,5,1,1,6,1937,732,3,GasA,Y,1639,0,2009,120158.764334004
10,65,9170,Duplex,6,5,2,1,6,1952,520,3,GasA,Y,1224,0,2008,103548.35213166
11,21,7449,1Fam,5,7,2,0,6,1980,1947,3,GasA,Y,1872,0,2009,169545.452224439
12,40,39104,2fmCon,7,7,2,1,8,1969,1581,4,GasA,Y,1094,0,2009,233671.045990743
13,80,8410,1Fam,5,5,1,1,6,1962,1188,3,GasA,Y,1713,0,2007,147853.187938147
14,174,10452,Duplex,5,6,1,1,6,1928,960,3,GasA,Y,1744,0,2009,152404.527978146
15,36,6897,1Fam,6,5,2,1,7,1922,1099,4,GasA,Y,899,0,2007,110976.153750588
16,60,16669,TwnhsE,7,6,2,0,6,1977,910,2,GasA,Y,792,0,2006,182269.964314259
17,,12704,1Fam,5,7,1,0,11,1964,1694,1,GasA,N,1721,0,2006,197673.743368731
18,70,9000,1Fam,9,6,1,0,5,1976,1372,4,GasA,Y,1314,0,2006,216603.048605418
19,72,10083,1Fam,6,5,2,1,5,2008,612,2,GasA,Y,1382,0,2009,150997.163219581
20,75,7642,1Fam,7,6,2,0,5,2006,1792,3,GasA,Y,2240,0,2008,260084.0253189
21,41,12376,Duplex,6,6,1,0,8,1940,1362,2,GasA,Y,960,0,2008,120459.373026174
22,57,10000,TwnhsE,8,6,1,1,5,2000,1150,3,GasA,Y,1766,0,2006,262293.21260791
23,,7861,1Fam,7,7,2,0,5,1995,612,2,GasA,Y,2046,0,2006,171639.292388773
24,82,1680,1Fam,4,5,2,0,6,2005,848,3,GasA,Y,2554,0,2008,162788.791270824
25,35,7875,1Fam,5,6,1,0,5,1949,982,3,GasA,Y,1294,0,2007,119918.317372435
26,,8544,1Fam,7,5,1,0,4,2002,1040,3,GasA,Y,1689,0,2009,177345.566602785
27,78,6768,1Fam,5,8,1,0,6,1981,1237,2,GasA,Y,1097,0,2006,143029.015241695
28,116,6762,1Fam,4,5,2,0,7,2006,702,2,GasA,Y,630,0,2006,114319.429814336
29,75,16659,1Fam,6,4,1,0,9,1924,969,3,GasA,Y,835,0,2008,117328.716595528
30,53,6960,1Fam,6,9,1,0,8,1977,798,4,GasA,Y,1040,0,2009,122116.030361991
31,,9938,1Fam,7,7,1,1,5,1910,1094,3,GasA,Y,1720,0,2010,219380.773937144
32,82,8777,TwnhsE,7,6,1,0,6,1966,1073,3,GasA,Y,800,0,2006,131787.797226109
33,60,8544,1Fam,7,5,1,0,6,2000,864,4,GasA,Y,1829,0,2006,197063.557837859
34,60,8125,1Fam,4,5,1,0,5,1945,816,5,GasA,Y,1950,0,2006,148560.655154403
35,65,7050,1Fam,5,8,2,1,4,2007,1143,3,GasA,Y,1310,0,2006,156902.999485574
36,60,10437,1Fam,8,5,1,0,8,1970,1734,3,GasA,Y,1756,0,2006,257470.468824311
37,80,7658,1Fam,5,7,2,0,7,2007,702,3,GasA,Y,1144,0,2006,170998.439975461
38,,11844,1Fam,8,4,1,1,8,1961,649,2,GasA,Y,1375,512,2008,161350.703801779
39,78,7472,1Fam,8,7,1,0,5,2001,1440,4,GasA,Y,773,0,2009,241397.31873683
40,70,8400,1Fam,8,5,2,0,8,2000,1064,2,GasW,Y,1148,0,2009,193090.937083005
41,52,6563,1Fam,6,6,1,1,7,1955,1134,2,GasA,Y,1692,0,2008,151344.298843633
42,77,9250,1Fam,5,5,2,1,5,2005,1148,3,GasA,N,1382,0,2010,170145.390373579
43,83,10400,1Fam,7,5,2,0,6,1961,912,4,GasA,Y,520,0,2006,122900.57400587
44,108,9612,1Fam,9,5,2,1,9,2002,1436,3,GasA,Y,1766,0,2006,271982.725979079
45,75,9098,1Fam,5,6,2,0,7,1972,1416,2,GasA,Y,1144,0,2009,184772.368429996
46,51,9042,1Fam,6,5,2,0,7,1930,1056,4,GasA,Y,1639,0,2006,155952.622190732
47,,9020,1Fam,7,6,1,0,10,1961,3200,4,GasA,Y,2646,0,2007,274491.270045107
48,114,13006,1Fam,5,4,1,0,7,2000,777,3,GasA,Y,1786,0,2006,196757.473320048
49,56,11670,1Fam,7,5,3,1,6,2007,1113,3,GasA,Y,1369,0,2010,246883.711800792
50,79,7244,1Fam,6,6,1,1,5,1997,1128,2,GasA,Y,2466,0,2006,216417.765660489
51,81,9765,TwnhsE,7,4,2,0,7,1953,672,2,GasA,Y,1291,0,2009,143925.16437316
52,70,10570,1Fam,5,7,1,0,6,2003,1144,3,GasA,Y,1501,0,2006,135724.41374684
53,,9100,1Fam,6,5,2,1,5,2004,520,4,GasA,Y,2090,0,2008,183274.895339781
54,82,10005,1Fam,3,9,3,0,6,2003,912,3,GasA,Y,825,0,2009,152172.268672985
55,75,1526,1Fam,6,5,2,0,4,1965,0,4,GasA,Y,1306,0,2008,131770.970437537
56,,7930,1Fam,5,5,2,0,5,2007,910,3,GasA,Y,1802,0,2007,181927.468971693
57,60,9750,1Fam,4,5,1,0,4,1925,1144,3,GasA,Y,2775,0,2007,188578.772182837
58,75,46589,1Fam,4,5,1,1,7,1922,729,3,GasA,Y,1680,0,2007,173484.608526773
59,50,5000,1Fam,5,6,1,1,6,1925,1008,3,GasA,Y,1446,0,2009,94534.0183740855
60,62,10500,1Fam,8,3,1,0,7,1956,783,3,GasA,Y,1800,0,2009,180390.516436858
61,21,12099,1Fam,7,5,2,1,6,1931,384,2,GasA,Y,1440,0,2010,151794.044361201
62,50,12257,1Fam,9,5,1,1,12,1971,702,3,GasA,Y,2158,0,2006,304769.077734239
63,60,9790,1Fam,8,5,2,1,3,1966,1092,4,GasA,N,1121,0,2010,166637.537835641
64,51,1890,1Fam,5,7,1,1,7,1918,1181,2,GasA,Y,2612,0,2008,155499.911180418
65,59,12003,1Fam,6,7,1,1,7,1930,3094,3,GasA,Y,1077,0,2006,173697.225674799
66,21,14587,2fmCon,9,5,1,0,7,1929,1686,3,GasA,Y,2144,0,2008,304383.70657458
67,,9020,1Fam,5,5,2,0,6,2008,105,3,GasA,Y,1048,0,2006,147004.05003728
68,78,14200,TwnhsE,7,5,1,1,6,1992,849,2,GasA,Y,1800,0,2009,229831.25359665
69,107,5119,1Fam,7,5,2,0,6,1954,1266,2,GasA,Y,1212,0,2009,144726.530690034
70,62,10200,2fmCon,4,5,1,0,8,1998,811,2,GasA,Y,2034,0,2009,148803.66835888
71,80,6762,1Fam,7,5,1,0,8,1972,384,2,GasA,Y,1080,0,2007,112553.146529634
72,35,10386,1Fam,6,5,2,0,7,1936,1686,4,GasA,Y,1949,0,2009,209973.030642667
73,70,8366,1Fam,7,5,1,0,5,1953,1869,2,GasA,Y,1470,0,2010,146132.86321216
74,60,10927,1Fam,5,5,1,0,7,1974,1436,3,GasA,Y,1928,0,2009,188922.590042034
75,,15660,1Fam,7,3,0,0,9,1972,1253,2,GasA,Y,1252,0,2008,158614.588974758
76,50,1680,1Fam,9,5,2,0,4,2005,1008,4,GasA,Y,1262,0,2006,201725.799204507
77,97,8500,1Fam,5,6,1,0,7,1957,856,2,GasA,Y,1563,0,2010,165824.61360078
78,92,12155,1Fam,5,8,2,1,6,1923,996,2,GasA,Y,1652,0,2009,157165.168023045
79,88,7259,1Fam,7,5,1,1,7,2004,1003,4,GasA,Y,1317,0,2010,168206.833062907
80,60,11500,TwnhsE,5,5,2,0,7,2003,728,3,GasA,Y,1375,0,2007,167907.237255795
81,65,9100,1Fam,6,5,1,0,7,1940,561,1,GasA,Y,1040,0,2006,137749.089011455
82,21,4058,1Fam,7,5,2,1,7,2000,926,3,GasA,Y,960,0,2009,139102.297943219
83,60,18450,1Fam,6,7,1,0,7,2005,773,3,GasA,Y,1301,0,2010,154876.537541759
84,53,9600,Twnhs,6,6,2,0,7,1961,1833,1,GasA,Y,858,0,2008,168471.435339932
85,51,9180,1Fam,6,7,2,1,7,2005,1385,3,GasA,Y,767,0,2009,135270.799845436
86,141,17600,TwnhsE,6,5,2,1,8,1946,689,3,GasA,Y,3112,0,2007,200992.104189237
87,105,12456,1Fam,6,5,2,0,6,1997,2444,3,GasA,Y,1003,0,2006,239274.08743604
88,,7200,1Fam,7,5,2,0,10,1990,660,3,GasA,Y,1113,0,2007,158346.494539861
89,96,12205,1Fam,6,6,2,0,4,1925,979,3,GasA,Y,1208,0,2010,113057.547673353
90,50,6000,1Fam,4,6,1,1,8,2005,540,4,GasA,Y,1632,0,2007,206199.741209332
91,100,7800,TwnhsE,6,5,3,0,10,2004,2109,3,GasA,Y,1920,0,2007,215904.229719463
92,78,3604,1Fam,7,6,2,1,5,1970,1566,2,GasA,Y,1159,0,2009,181494.774607478
93,60,7200,1Fam,8,5,1,0,6,1963,715,4,GasA,Y,1269,0,2008,161640.336624713
94,,8536,1Fam,6,7,2,0,10,2005,1470,2,GasA,Y,2730,0,2008,245530.801838152
95,59,2572,1Fam,8,5,2,0,6,2007,744,4,GasA,Y,1560,0,2010,191493.86089511
96,91,21535,1Fam,5,5,2,0,8,1976,483,4,GasA,Y,1215,0,2006,136025.072628953
97,,8765,1Fam,7,5,2,0,7,1958,1517,3,GasA,N,1473,0,2006,145337.909308162
98,75,11782,1Fam,6,5,2,1,10,2002,1276,2,GasA,Y,2192,0,2006,203925.720040838
99,71,2289,1Fam,6,7,1,0,8,1976,1670,2,GasA,Y,1577,0,2007,167707.76600324
100,,15611,TwnhsE,5,5,2,1,6,1990,1204,2,GasA,N,1217,0,2010,179845.162085566
101,48,9450,1Fam,5,8,1,0,9,1946,1050,2,GasA,Y,2531,0,2008,183722.436648225
102,,11426,1Fam,6,5,2,1,7,1954,1125,4,GasA,Y,1547,0,2007,134075.220118103
103,60,7851,1Fam,5,5,2,0,6,2003,1561,2,GasA,Y,1961,0,2007,210345.896798667
104,65,8000,1Fam,5,5,1,1,8,1954,1161,3,GasA,Y,848,0,2008,125105.133777148
105,,4274,1Fam,5,5,1,0,4,1975,1116,4,GasA,Y,840,0,2009,126684.140803896
106,106,10628,1Fam,5,5,1,0,6,1964,1138,2,GasA,N,1317,0,2009,119611.290481683
107,70,9855,TwnhsE,8,5,1,1,7,1998,1379,2,GasA,Y,1362,0,2009,223763.990657055
108,60,7500,1Fam,7,5,1,0,7,2007,1391,2,GasA,N,1616,0,2007,221433.601177759
109,24,7000,1Fam,5,8,1,0,5,2005,702,3,GasA,Y,1445,0,2009,113623.082294788
110,,8281,2fmCon,4,8,1,1,5,1972,1100,3,GasA,Y,1328,0,2008,132393.530586892
111,60,12800,1Fam,4,5,2,1,5,2007,725,2,GasA,Y,2172,0,2009,186928.638841047
112,79,9945,1Fam,8,6,2,1,7,2005,864,4,GasA,Y,2576,0,2009,327692.097138082
113,60,16635,Duplex,5,5,1,0,8,1981,849,3,GasA,Y,816,0,2009,132657.417126202
114,122,14762,1Fam,5,7,1,1,8,1970,943,3,GasA,Y,1477,0,2008,156761.821671772
115,141,10667,1Fam,5,6,1,1,5,1960,953,2,GasA,Y,1458,0,2008,168155.258676944
116,,10200,1Fam,5,7,1,1,7,1969,1214,3,GasA,Y,1940,0,2009,165009.990066698
117,,2268,Duplex,6,5,2,1,7,1951,1350,3,GasA,Y,1752,0,2006,127165.85567151
118,51,10355,1Fam,10,6,2,0,6,1965,1144,2,GasA,Y,1342,0,2010,217800.388843497
119,75,12803,1Fam,5,5,1,0,6,1970,1709,2,GasA,Y,981,0,2007,170604.256769047
120,80,7200,1Fam,7,5,1,1,7,1996,723,3,GasA,Y,1150,0,2006,184564.146405479
121,63,10400,1Fam,7,5,2,0,6,2004,990,3,GasA,Y,1908,0,2010,222471.679722343
122,55,25095,1Fam,6,5,2,1,7,1959,736,3,GasA,Y,1073,0,2006,123515.227086962
123,75,10400,1Fam,5,5,1,0,4,2004,1028,3,GasA,Y,894,0,2008,126458.029610397
124,82,11553,1Fam,8,6,1,1,7,1986,983,3,GasA,Y,1573,0,2007,193450.863648174
125,50,3072,1Fam,8,7,2,0,6,1918,672,3,GasA,Y,1224,0,2007,148545.73544571
126,66,10896,1Fam,8,5,1,0,8,2005,864,3,GasA,Y,1040,0,2008,199930.326533178
127,65,7227,1Fam,8,6,1,1,5,1880,750,2,GasA,Y,2704,0,2006,199662.708106232
128,70,9320,1Fam,6,5,2,0,8,1982,1466,2,GasA,Y,1344,0,2006,217730.082052254
